

Watch Newborn
0LLW1 => L => age: 0 => lw: 1 || 1 acctivities 
0LLW2 => L => age: 0 => lw: 2 || 2 acctivities 
0NLW1 => L => age: 0 => lw: 1 || 2 acctivities 
0NLW2 => L => age: 0 => lw: 2 || 2 acctivities 
0SLW1 => S => age: 0 => lw: 1 || 1 acctivities 
0SLW2 => S => age: 0 => lw: 2 || 1 acctivities 
0VLW1 => V => age: 0 => lw: 1 || 1 acctivities 
0VLW2 => V => age: 0 => lw: 2 || 1 acctivities 
0VLW3 => V => age: 0 => lw: 3 || 1 acctivities 
0MLW1 => M => age: 0 => lw: 1 || 2 acctivities 
0MLW2 => M => age: 0 => lw: 2 || 1 acctivities 
0ELW1 => E => age: 0 => lw: 1 || 1 acctivities 
0ELW2 => E => age: 0 => lw: 2 || 1 acctivities 


Watch 1 Month
1LLW1 => L => age: 1 => lw: 1 || 2 acctivities 
1LLW2 => L => age: 1 => lw: 2 || 1 acctivities 
1NLW1 => N => age: 1 => lw: 1 || 1 acctivities 
1NLW2 => N => age: 1 => lw: 2 || 1 acctivities 
1SLW1 => S => age: 1 => lw: 1 || 1 acctivities 
1SLW2 => S => age: 1 => lw: 2 || 1 acctivities 
1VLW1 => V => age: 1 => lw: 1 || 2 acctivities 
1VLW2 => V => age: 1 => lw: 2 || 1 acctivities 
1MLW1 => M => age: 1 => lw: 1 || 1 acctivities 
1MLW2 => M => age: 1 => lw: 2 || 2 acctivities 
1ELW1 => E => age: 1 => lw: 1 || 1 acctivities 
1ELW2 => E => age: 1 => lw: 2 || 1 acctivities 
1ELW3 => E => age: 1 => lw: 3 || 1 acctivities 


Watch 2 Months
2LLW1 => L => age: 2 => lw: 1 || 1 acctivities 
2LLW2 => L => age: 2 => lw: 2 || 1 acctivities 
2NLW1 => N => age: 2 => lw: 1 || 2 acctivities 
2NLW2 => N => age: 2 => lw: 2 || 2 acctivities 
2SLW1 => S => age: 2 => lw: 1 || 1 acctivities 
2SLW2 => S => age: 2 => lw: 2 || 1 acctivities 
2VLW1 => V => age: 2 => lw: 1 || 1 acctivities 
2VLW2 => V => age: 2 => lw: 2 || 2 acctivities 
2MLW1 => M => age: 2 => lw: 1 || 2 acctivities 
2MLW2 => M => age: 2 => lw: 2 || 1 acctivities 
2ELW1 => E => age: 2 => lw: 1 || 1 acctivities 
2ELW2 => E => age: 2 => lw: 2 || 1 acctivities 


Watch 3 Months
3LLW1 => L => age: 3 => lw: 1 || 1 acctivities 
3LLW2 => L => age: 3 => lw: 2 || 1 acctivities 
3NLW1 => N => age: 3 => lw: 1 || 1 acctivities 
3NLW2 => N => age: 3 => lw: 2 || 1 acctivities 
3SLW1 => S => age: 3 => lw: 1 || 2 acctivities 
3SLW2 => S => age: 3 => lw: 2 || 1 acctivities 
3VLW1 => V => age: 3 => lw: 1 || 1 acctivities 
3VLW2 => V => age: 3 => lw: 2 || 1 acctivities 
3VLW3 => V => age: 3 => lw: 3 || 1 acctivities 
3MLW1 => M => age: 3 => lw: 1 || 1 acctivities 
3MLW2 => M => age: 3 => lw: 2 || 1 acctivities 
3MLW3 => M => age: 3 => lw: 3 || 2 acctivities 
3ELW1 => E => age: 3 => lw: 1 || 1 acctivities 
3ELW2 => E => age: 3 => lw: 2 || 1 acctivities 


Watch 4 Months
4LLW1 => L => age: 4 => lw: 1 || 1 acctivities 
4LLW2 => L => age: 4 => lw: 2 || 1 acctivities 
4NLW1 => N => age: 4 => lw: 1 || 1 acctivities 
4NLW2 => N => age: 4 => lw: 2 || 1 acctivities 
4SLW1 => S => age: 4 => lw: 1 || 1 acctivities 
4SLW2 => S => age: 4 => lw: 2 || 1 acctivities 
4VLW1 => V => age: 4 => lw: 1 || 1 acctivities 
4VLW2 => V => age: 4 => lw: 2 || 1 acctivities 
4MLW1 => M => age: 4 => lw: 1 || 1 acctivities 
4MLW2 => M => age: 4 => lw: 2 || 2 acctivities 
4MLW3 => M => age: 4 => lw: 3 || 2 acctivities 
4ELW1 => E => age: 4 => lw: 1 || 2 acctivities 
4ELW2 => E => age: 4 => lw: 2 || 2 acctivities 


Watch 5 Months
5LLW1 => L => age: 5 => lw: 1 || 1 acctivities 
5LLW2 => L => age: 5 => lw: 2 || 1 acctivities 
5NLW1 => N => age: 5 => lw: 1 || 1 acctivities 
5NLW2 => N => age: 5 => lw: 2 || 1 acctivities 
5SLW1 => S => age: 5 => lw: 1 || 2 acctivities 
5SLW2 => S => age: 5 => lw: 2 || 1 acctivities 
5VLW1 => V => age: 5 => lw: 1 || 1 acctivities 
5VLW2 => V => age: 5 => lw: 2 || 1 acctivities 
5MLW1 => M => age: 5 => lw: 1 || 1 acctivities 
5MLW2 => M => age: 5 => lw: 2 || 2 acctivities 
5ELW1 => E => age: 5 => lw: 1 || 1 acctivities 
5ELW2 => E => age: 5 => lw: 2 || 1 acctivities 


Watch 6 Months
6LLW1 => L => age: 6 => lw: 1 || 2 acctivities 
6LLW2 => L => age: 6 => lw: 2 || 2 acctivities 
6NLW1 => N => age: 6 => lw: 1 || 1 acctivities 
6NLW2 => N => age: 6 => lw: 2 || 2 acctivities 
6SLW1 => S => age: 6 => lw: 1 || 1 acctivities 
6SLW2 => S => age: 6 => lw: 2 || 1 acctivities 
6VLW1 => V => age: 6 => lw: 1 || 1 acctivities 
6VLW2 => V => age: 6 => lw: 2 || 1 acctivities 
6MLW1 => M => age: 6 => lw: 1 || 2 acctivities 
6MLW2 => M => age: 6 => lw: 2 || 2 acctivities 
6ELW1 => E => age: 6 => lw: 1 || 1 acctivities 
6ELW2 => E => age: 6 => lw: 2 || 1 acctivities 


Watch 7 Months
7LLW1 => L => age: 7 => lw: 1 || 1 acctivities 
7LLW2 => L => age: 7 => lw: 2 || 1 acctivities 
7NLW1 => N => age: 7 => lw: 1 || 1 acctivities 
7NLW2 => N => age: 7 => lw: 2 || 1 acctivities 
7SLW1 => S => age: 7 => lw: 1 || 1 acctivities 
7SLW2 => S => age: 7 => lw: 2 || 2 acctivities 
7VLW1 => V => age: 7 => lw: 1 || 1 acctivities 
7VLW2 => V => age: 7 => lw: 2 || 1 acctivities 
7MLW1 => M => age: 7 => lw: 1 || 2 acctivities 
7MLW2 => M => age: 7 => lw: 2 || 1 acctivities 
7ELW1 => E => age: 7 => lw: 1 || 1 acctivities 
7ELW2 => E => age: 7 => lw: 2 || 1 acctivities 


Watch 8 Months
8LLW1 => L => age: 8 => lw: 1 || 2 acctivities 
8LLW2 => L => age: 8 => lw: 2 || 1 acctivities 
8NLW1 => N => age: 8 => lw: 1 || 1 acctivities 
8NLW2 => N => age: 8 => lw: 2 || 2 acctivities 
8SLW1 => S => age: 8 => lw: 1 || 2 acctivities 
8SLW2 => S => age: 8 => lw: 2 || 1 acctivities 
8VLW1 => V => age: 8 => lw: 1 || 1 acctivities 
8VLW2 => V => age: 8 => lw: 2 || 2 acctivities 
8MLW1 => M => age: 8 => lw: 1 || 1 acctivities 
8MLW2 => M => age: 8 => lw: 2 || 2 acctivities 
8MLW3 => M => age: 8 => lw: 3 || 2 acctivities 
8MLW4 => M => age: 8 => lw: 4 || 2 acctivities 
8ELW1 => E => age: 8 => lw: 1 || 1 acctivities 
8ELW2 => E => age: 8 => lw: 2 || 1 acctivities 


Watch 9 Months
9LLW1 => L => age: 9 => lw: 1 || 2 acctivities 
9LLW2 => L => age: 9 => lw: 2 || 1 acctivities 
